config_id,fold,case_id,n_estimators,max_depth,min_samples_leaf,max_features,pancreas_dice,kidney_dice,liver_dice,mean_foreground_dice
config_015,5,UKCHLL021,300,5,50,sqrt,0.7472368619183858,0.9292809068366985,0.9635623720358858,0.88002671359699
config_015,5,UKCHLL023,300,5,50,sqrt,0.6886095244619903,0.9250697765099432,0.051792658924919625,0.5551573199656177
config_015,5,UKCHLL035,300,5,50,sqrt,0.6818233402685833,0.9417222734848469,0.9656930144174921,0.8630795427236407
config_015,5,UKCHLL041,300,5,50,sqrt,0.7787210878050476,0.944377153737167,0.9498101211698268,0.8909694542373471
config_016,1,UKCHLL001,300,5,50,all,0.7095895447556655,0.9014616013504373,0.975431162437686,0.8621607695145963
config_016,1,UKCHLL002,300,5,50,all,0.7348672441597124,0.9380073019736495,0.9691585001004659,0.8806776820779426
config_016,1,UKCHLL042,300,5,50,all,0.8301827384396192,0.9104580480914152,0.926262667969267,0.8889678181667672
config_016,1,UKCHLL045,300,5,50,all,0.7435652315073682,0.9119604567954311,0.9710540102385559,0.8755265661804517
config_016,2,UKCHLL011,300,5,50,all,0.5720052899004664,0.9488401240929972,0.9665973493418096,0.8291475877784243
config_016,2,UKCHLL017,300,5,50,all,0.6455521113373104,0.9213400294080432,0.9743695517561815,0.847087230833845
config_016,2,UKCHLL031,300,5,50,all,0.8035486164263788,0.9404947139424228,0.9711565631316974,0.9050666311668331
config_016,2,UKCHLL037,300,5,50,all,0.7646877069079674,0.922336341527144,0.9670884504526692,0.884704166295927
config_016,3,UKCHLL009,300,5,50,all,0.8379394700254017,0.9211514848701232,0.9688091027730199,0.9093000192228482
config_016,3,UKCHLL039,300,5,50,all,0.7071597779056472,0.9382710795545974,0.9619500788676311,0.8691269787759586
config_016,3,UKCHLL043,300,5,50,all,0.7693177777591126,0.9090315620704981,0.9688669903552999,0.8824054433949701
config_016,3,UKCHLL046,300,5,50,all,0.749596489238259,0.9460429498303803,0.9519063387902454,0.8825152592862948
